geo_insee;geo_name;year;rrmse;alpha;mu;sigma;d_alpha;d_mu;d_sigma
11;ILE-DE-FRANCE;2010-2011;0.40254720925312637;419.6923887685647;124.4892197828289;21.046201728407784;14.799847121044309;0.8569771341259991;0.8569771340159268
76;OCCITANIE;2010-2011;0.3648878991167625;561.0435867840382;146.9216329479417;17.951216287191187;17.598714328008725;0.6502009334071258;0.6502009317665122
32;HAUTS-DE-FRANCE;2010-2011;0.5035819910192129;1143.461129615743;131.33430015139461;11.923192984510731;39.252850802114494;0.4726196143266483;0.47261961520786056
28;NORMANDIE;2010-2011;0.4142975647232352;335.7403184934441;124.43610636096888;18.87185187525099;11.33061002671948;0.7354170310420785;0.7354170351351289
52;PAYS-DE-LA-LOIRE;2010-2011;0.7518740331882967;307.0005911918116;129.90089961920918;22.362044031441574;19.871552703085573;1.671373294976491;1.6713732953607543
93;PROVENCE-ALPES-COTE-D-AZUR;2010-2011;0.27511534662644505;556.1110983042115;147.64664924522518;19.19515888913243;12.804543997839522;0.5103447285280377;0.5103447314952259
44;GRAND EST;2011-2012;0.6353182903489191;283.7465204077982;176.77656236447643;21.774596636478922;17.449329544676882;1.546207188094454;1.5462071859409743
75;NOUVELLE-AQUITAINE;2011-2012;0.5422481441821811;304.67927992539256;181.39804479511216;17.303288820938924;17.18461169559097;1.1269245243555042;1.126924528604447
84;AUVERGNE-RHONE-ALPES;2011-2012;0.42477955267451417;517.7797870167366;173.65051902770085;19.276147420085408;20.288519617881043;0.8721574111717627;0.872157413512038
27;BOURGOGNE-FRANCHE-COMTE;2011-2012;0.7367775103281418;361.8550499043169;175.82460698697034;9.205798833483794;23.51117742867086;0.6906744965556404;0.69066369351137
53;BRETAGNE;2011-2012;0.6477701798070474;253.89321983360918;187.9563512244796;30.706197704878505;24.214732272910886;3.3816135851344;3.3816135861880188
24;CENTRE-VAL-DE-LOIRE;2011-2012;0.6667359151091309;493.84547655859967;176.67724252235308;10.89019477811008;29.77123449920558;0.7580725679817366;0.7580725690384887
94;CORSE;2011-2012;0.7569864241932822;283.2312339274801;178.41565382451864;20.549871904415145;18.341916853575995;1.5366751335168365;1.5366751365557563
11;ILE-DE-FRANCE;2011-2012;0.5604105253308133;355.4817705263846;170.56717868009974;14.323026056897758;17.97130337672977;0.8361157283200293;0.8361157319632435
76;OCCITANIE;2011-2012;0.6609295435280194;460.22232347547487;173.65535996628472;13.638683136905549;28.81328889146766;0.9859774020742847;0.9859774075239759
32;HAUTS-DE-FRANCE;2011-2012;0.6067667645629786;442.12035708961463;175.06089499652762;20.578385260073244;28.622720101303027;1.5383354729242849;1.5383354773148366
28;NORMANDIE;2011-2012;0.5687657447326405;211.2329334251577;176.50299407183508;10.195410574500611;7.884627825087701;0.43943402817803223;0.4394339653888167
52;PAYS-DE-LA-LOIRE;2011-2012;0.9520056872837336;171.09339150459158;190.41155435719722;13.997624798502386;14.821316125836576;1.4001586702197155;1.4001586759064617
93;PROVENCE-ALPES-COTE-D-AZUR;2011-2012;0.419639354370312;627.5892047347654;169.1452822253317;13.210625774513622;20.36968867099076;0.4951099882010815;0.4951099896134786
44;GRAND EST;2012-2013;0.5380162651639615;660.2434675069272;166.19622083773692;19.880037377251487;34.052556159358595;1.1920624288476975;1.2297742250946393
75;NOUVELLE-AQUITAINE;2012-2013;0.4631075407555449;399.5304504174513;165.75128986070504;30.95070585631306;20.331781730281506;1.904876390360687;1.8879754754555935
84;AUVERGNE-RHONE-ALPES;2012-2013;0.3263102608412962;948.9468526890063;163.1962312531856;20.5043155759377;27.653119251532686;0.7027701254740004;0.7280354906734328
27;BOURGOGNE-FRANCHE-COMTE;2012-2013;0.318305810260429;694.6147390896259;164.8219006609084;14.668827764086775;17.06692364532223;0.4158538268427242;0.41950327688845573
53;BRETAGNE;2012-2013;0.4932304870481705;460.69426811015705;170.04989097686757;27.636274003960835;23.777844235633573;1.6941901221035651;1.7284592204238196
24;CENTRE-VAL-DE-LOIRE;2012-2013;0.4342359726954344;833.6643484380753;166.34001315809832;15.823119138424794;29.63616713333793;0.6490607255872902;0.6564082793666002
94;CORSE;2012-2013;0.41684490874464575;847.0280579457391;171.9361343382785;11.233365910817211;23.78745187941636;0.3642746052887584;0.36427633417397215
11;ILE-DE-FRANCE;2012-2013;0.522756286643841;540.991463748691;164.61319733064354;25.918209426981576;27.793249680561143;1.5999840400675729;1.6218897588448
76;OCCITANIE;2012-2013;0.47002075669446625;767.6303126800573;169.60542041602054;20.945144174303294;34.366309420663285;1.087590252871026;1.1173250689263547
